"Date:";"Date:"
"Author:";"Author:"
"Object Type:";"Object Type:"
"Object ID:";"Object ID:"
"№ Properties:";"№ Properties:"
"Daily Updates";"Daily Updates"
"{{ numObjects }} update(s) in the last day";"{{ numObjects }} update(s) in the last day"
"Hourly Updates";"Hourly Updates"
"{{ numObjects }} update(s) in the last hour";"{{ numObjects }} update(s) in the last hour"
"Last minute updates";"Last minute updates"
"{{ numObjects }} update(s) in the last minute";"{{ numObjects }} update(s) in the last minute"
"Monthly Updates";"Monthly Updates"
"{{ numObjects }} update(s) in the last month";"{{ numObjects }} update(s) in the last month"
"Weekly Updates";"Weekly Updates"
"{{ numObjects }} update(s) in the last week";"{{ numObjects }} update(s) in the last week"
"Someone (hopefully you) requested a password reset for the following Charcoal account:";"Someone (hopefully you) requested a password reset for the following Charcoal account:"
"Notification For: &lt;{{ adminUrl }}&gt;";"Notification For: &lt;{{ adminUrl }}&gt;"
"IP Address: {{ ipAddress }}";"IP Address: {{ ipAddress }}"
"Email: {{ user.email }}";"Email: {{ user.email }}"
"No changes have been made to the account yet.";"No changes have been made to the account yet."
"If this is a mistake, just ignore this email and nothing will happen.";"If this is a mistake, just ignore this email and nothing will happen."
"To reset your password, visit the following address:";"To reset your password, visit the following address:"
"Your Password Reset Token: <code>{{ token }}</code>";"Your Password Reset Token: <code>{{ token }}</code>"
"Your reset token expires at {{ expiry }}.";"Your reset token expires at {{ expiry }}."
"The password has been reset for the following Charcoal account:";"The password has been reset for the following Charcoal account:"
"If you did not request this change, you can <a href=""{{ urlLockAccount }}"">lock your account</a> to protect your information or contact your administrator: <a href=""mailto:{{ adminEmail }}"">{{ adminEmail }}</a>";"If you did not request this change, you can <a href=""{{ urlLockAccount }}"">lock your account</a> to protect your information or contact your administrator: <a href=""mailto:{{ adminEmail }}"">{{ adminEmail }}</a>"
"Welcome to Charcoal.";"Welcome to Charcoal."
"Enter text here";"Enter text here"
"Record A Message";"Record A Message"
"Upload Audio File";"Upload Audio File"
"Play/Pause";"Play/Pause"
"Complete Recording";"Complete Recording"
"Restart Recording";"Restart Recording"
"Failed to capture audio.";"Failed to capture audio."
"Record";"Record"
"Delete";"Delete"
"Remove";"Remove"
"Confirm Deletion";"Confirm Deletion"
"Confirm Removal";"Confirm Removal"
"You must activate at least one of the following methods: text, record, or file";"You must activate at least one of the following methods: text, record, or file"
"Use Calendar Widget";"Use Calendar Widget"
"Unselected Options";"Unselected Options"
"Search Unselected Options";"Search Unselected Options"
"Selected Options";"Selected Options"
"Search Selected Options";"Search Selected Options"
"Mapping Actions";"Mapping Actions"
"Add Marker";"Add Marker"
"Add Line";"Add Line"
"Add Polygon";"Add Polygon"
"Reset";"Reset"
"Address";"Address"
"Search";"Search"
"Add Location";"Add Location"
"Move up the selected options from the right side";"Move up the selected options from the right side"
"Move down the selected options from the right side";"Move down the selected options from the right side"
"Undo the last action";"Undo the last action"
"Undo";"Undo"
"Move all options from left to right";"Move all options from left to right"
"Move selected options from left to right";"Move selected options from left to right"
"Move selected options from right to left";"Move selected options from right to left"
"Move all options from right to left";"Move all options from right to left"
"Redo the last action";"Redo the last action"
"Redo";"Redo"
"Copy To Clipboard";"Copy To Clipboard"
"elFinder File Manager";"elFinder File Manager"
"Need Help?";"Need Help?"
"For any questions about the use of this service, please do not hesitate to contact <a href=""mailto:charcoal@locomotive.ca"">charcoal@locomotive.ca</a>.";"For any questions about the use of this service, please do not hesitate to contact <a href=""mailto:charcoal@locomotive.ca"">charcoal@locomotive.ca</a>."
"Charcoal is operated by <a href=""https://locomotive.ca"">Locomotive</a>, a Web agency based in Montréal.";"Charcoal is operated by <a href=""https://locomotive.ca"">Locomotive</a>, a Web agency based in Montréal."
"Memo, the alerts system, is propulsed by <em>Charcoal</em>.";"Memo, the alerts system, is propulsed by <em>Charcoal</em>."
"?";"?"
"Email";"Email"
"Password";"Password"
"Remember Me";"Remember Me"
"auth.login.title";"Log In"
"auth.login.action";"Log In"
"auth.login.pastAction";"Logged In"
"auth.login.presentAction";"Logging In…"
"Lost your password?";"Lost your password?"
"auth.logout.title";"Logged Out"
"auth.logout.action";"Log Out"
"auth.logout.pastAction";"Logged Out"
"auth.logout.presentAction";"Logging Out…"
"You have safely logged out from Charcoal.";"You have safely logged out from Charcoal."
"Log In Again";"Log In Again"
"Log in with your new password";"Log in with your new password"
"Lost Password";"Lost Password"
"Please enter your email address.";"Please enter your email address."
"You will receive an email containing a link to create a new password.";"You will receive an email containing a link to create a new password."
"Email Address";"Email Address"
"Get Reset Link";"Get Reset Link"
"Already received a token by email?";"Already received a token by email?"
"Did you remember your password?";"Did you remember your password?"
"Password Reset";"Password Reset"
"Enter the reset token you have received via email, your email address, and your new password.";"Enter the reset token you have received via email, your email address, and your new password."
"Password Reset Token";"Password Reset Token"
"Token (received by email)";"Token (received by email)"
"Get new password reset token";"Get new password reset token"
"New Password";"New Password"
"Confirm New Password";"Confirm New Password"
