"Date:";"Date :"
"Author:";"Auteur :"
"Object Type:";"Type d'objet :"
"Object ID:";"ID d'objet :"
"№ Properties:";"№ de propriétés :"
"Daily Updates";"Mises à jour quotidiennes"
"{{ numObjects }} update(s) in the last day";"{{ numObjects }} mise(s) à jour au cours de la journée"
"Hourly Updates";"Mises à jour aux heures"
"{{ numObjects }} update(s) in the last hour";"{{ numObjects }} mise(s) à jour dans la dernière heure"
"Last minute updates";"Mises à jour de dernière minute"
"{{ numObjects }} update(s) in the last minute";"{{ numObjects }} mise(s) à jour dans la dernière minute"
"Monthly Updates";"Mises à jour mensuelles"
"{{ numObjects }} update(s) in the last month";"{{ numObjects }} mise(s) à jour dans le dernier mois"
"Weekly Updates";"Mises à jour hebdomadaires"
"{{ numObjects }} update(s) in the last week";"{{ numObjects }} mise(s) à jour dans la dernière semaine"
"Someone (hopefully you) requested a password reset for the following Charcoal account:";"Quelqu'un (espérons-le";" vous) a demandé une réinitialisation du mot de passe pour le compte Charcoal suivant :"
"Notification For: &lt;{{ adminUrl }}&gt;";"Notification Pour : &lt;{{ adminUrl }}&gt;"
"IP Address: {{ ipAddress }}";"Adresse IP : {{ ipAddress }}"
"Username: {{ user.username }}";"Identifiant : {{ user.username }}"
"No changes have been made to the account yet.";"Aucun changement n'a été apporté au compte."
"If this is a mistake";" just ignore this email and nothing will happen.";"Si c'est une erreur";" ignorez ce courriel et rien ne se passera."
"To reset your password";" visit the following address:";"Pour réinitialiser votre mot de passe";" visitez l'adresse suivante :"
"Your Password Reset Token: <code>{{ token }}</code>";"Votre clé de réinitialisation de mot de passe : <code>{{ token }}</code>"
"Your reset token expires at {{ expiry }}.";"Votre clé de réinitialisation expire au {{ expiry }}."
"The password has been reset for the following Charcoal account:";"Le mot de passe a été réinitialisé pour le compte Charcoal suivant :"
"If you did not request this change, you can <a href=""{{ urlLockAccount }}"">lock your account</a> to protect your information or contact your administrator: <a href=""mailto:{{ adminEmail }}"">{{ adminEmail }}</a>";"Si vous n'avez pas demandé cette modification, vous pouvez <a href=""{{ urlLockAccount }}”>verrouiller votre compte</a> pour protéger vos informations ou contacter votre administrateur : <a href=""mailto:{{ adminEmail }}"">{{ adminEmail }}</a>"
"Welcome to Charcoal.";"Bienvenue à Charcoal."
"Enter text here";"Saisissez votre texte ici"
"Record A Message";"Enregistrer un message"
"Upload Audio File";"Téléverser un fichier audio"
"Play/Pause";"Lecture/Pause"
"Complete Recording";"Compléter l'enregistrement"
"Restart Recording";"Redémarrer l'enregistrement"
"Failed to capture audio.";"Échec de la capture audio."
"Record";"Enregistrer"
"Delete";"Supprimer"
"Remove";"Supprimer"
"Confirm Deletion";"Confirmer la suppression"
"Confirm Removal";"Confirmer la suppression"
"You must activate at least one of the following methods: text";" record";" or file";"Vous devez activer au moins une des méthodes suivantes: texte";" enregistrement";" ou fichier"
"Use Calendar Widget";"Utiliser le widget calendrier"
"Unselected Options";"Options non sélectionnées"
"Search Unselected Options";"Rechercher des options non sélectionnées"
"Selected Options";"Options sélectionnées"
"Search Selected Options";"Rechercher dans les options sélectionnées"
"Mapping Actions";"Actions de cartographie"
"Add Marker";"Ajouter un marqueur"
"Add Line";"Ajouter une ligne"
"Add Polygon";"Ajouter un polygone"
